Sun, 2018-04-15 19:02:01	38.1°C	███
Sun, 2018-04-15 19:03:01	37.6°C	███
Sun, 2018-04-15 19:04:01	37.0°C	███
Sun, 2018-04-15 19:05:01	37.6°C	███
Sun, 2018-04-15 19:06:01	38.1°C	███
Sun, 2018-04-15 19:07:01	37.6°C	███
Sun, 2018-04-15 19:08:01	37.6°C	███
Sun, 2018-04-15 19:09:01	37.6°C	███
Sun, 2018-04-15 19:10:01	37.6°C	███
Sun, 2018-04-15 19:11:01	38.6°C	███
Sun, 2018-04-15 19:12:01	38.1°C	███
Sun, 2018-04-15 19:13:01	37.6°C	███
Sun, 2018-04-15 19:14:02	37.6°C	███
Sun, 2018-04-15 19:15:02	37.6°C	███
Sun, 2018-04-15 19:16:02	39.2°C	███
Sun, 2018-04-15 19:17:02	37.6°C	███
Sun, 2018-04-15 19:18:02	37.6°C	███
Sun, 2018-04-15 19:19:02	37.6°C	███
Sun, 2018-04-15 19:20:02	37.6°C	███
Sun, 2018-04-15 19:21:02	38.1°C	███
Sun, 2018-04-15 19:22:02	38.6°C	███
Sun, 2018-04-15 19:23:02	38.1°C	███
Sun, 2018-04-15 19:24:02	38.6°C	███
Sun, 2018-04-15 19:25:02	38.1°C	███
Sun, 2018-04-15 19:26:02	38.6°C	███
Sun, 2018-04-15 19:27:02	38.1°C	███
Sun, 2018-04-15 19:28:02	38.6°C	███
Sun, 2018-04-15 19:29:02	38.1°C	███
Sun, 2018-04-15 19:30:03	38.1°C	███
Sun, 2018-04-15 19:31:03	38.1°C	███
Sun, 2018-04-15 19:32:03	38.6°C	███
Sun, 2018-04-15 19:33:03	38.6°C	███
Sun, 2018-04-15 19:34:03	38.1°C	███
Sun, 2018-04-15 19:35:03	38.1°C	███
Sun, 2018-04-15 19:36:03	38.1°C	███
Sun, 2018-04-15 19:37:03	38.1°C	███
Sun, 2018-04-15 19:38:03	38.6°C	███
Sun, 2018-04-15 19:39:03	38.1°C	███
Sun, 2018-04-15 19:40:03	38.1°C	███
Sun, 2018-04-15 19:41:03	38.6°C	███
Sun, 2018-04-15 19:42:03	37.6°C	███
Sun, 2018-04-15 19:43:03	38.6°C	███
Sun, 2018-04-15 19:44:03	38.6°C	███
Sun, 2018-04-15 19:45:03	38.6°C	███
Sun, 2018-04-15 19:46:04	37.6°C	███
Sun, 2018-04-15 19:47:04	38.1°C	███
Sun, 2018-04-15 19:48:04	38.6°C	███
Sun, 2018-04-15 19:49:04	38.6°C	███
Sun, 2018-04-15 19:50:04	38.1°C	███
Sun, 2018-04-15 19:51:04	38.1°C	███
Sun, 2018-04-15 19:52:04	38.1°C	███
Sun, 2018-04-15 19:53:04	39.7°C	███
Sun, 2018-04-15 19:54:04	38.6°C	███
Sun, 2018-04-15 19:55:04	38.6°C	███
Sun, 2018-04-15 19:17:23	38.6°C	███
Sun, 2018-04-15 19:18:23	36.5°C	███
Sun, 2018-04-15 19:19:23	38.1°C	███
Sun, 2018-04-15 19:20:23	38.1°C	███
Sun, 2018-04-15 19:21:23	38.1°C	███
Sun, 2018-04-15 19:22:23	38.1°C	███
Sun, 2018-04-15 19:23:23	38.1°C	███
Sun, 2018-04-15 19:24:23	38.6°C	███
Sun, 2018-04-15 19:25:23	38.6°C	███
Sun, 2018-04-15 19:26:23	38.6°C	███
Sun, 2018-04-15 19:27:23	38.6°C	███
Sun, 2018-04-15 19:28:23	38.1°C	███
Sun, 2018-04-15 19:29:23	38.6°C	███
Sun, 2018-04-15 19:30:23	38.1°C	███
Sun, 2018-04-15 19:31:23	37.6°C	███
Sun, 2018-04-15 19:32:24	37.6°C	███
Sun, 2018-04-15 19:33:24	38.1°C	███
Sun, 2018-04-15 19:34:24	38.6°C	███
Sun, 2018-04-15 19:35:24	37.6°C	███
Sun, 2018-04-15 19:36:24	38.6°C	███
Sun, 2018-04-15 19:37:24	38.6°C	███
Sun, 2018-04-15 19:38:24	38.1°C	███
Sun, 2018-04-15 19:39:24	38.6°C	███
Sun, 2018-04-15 19:40:24	38.6°C	███
Sun, 2018-04-15 19:41:24	38.6°C	███
Sun, 2018-04-15 19:42:24	38.1°C	███
Sun, 2018-04-15 19:43:24	38.1°C	███
Sun, 2018-04-15 19:44:24	38.6°C	███
Sun, 2018-04-15 19:45:24	38.6°C	███
Sun, 2018-04-15 19:46:24	38.6°C	███
Sun, 2018-04-15 19:47:24	37.6°C	███
Sun, 2018-04-15 19:48:24	38.6°C	███
Sun, 2018-04-15 19:49:24	38.1°C	███
Sun, 2018-04-15 19:50:25	38.1°C	███
Sun, 2018-04-15 19:51:25	38.1°C	███
Sun, 2018-04-15 19:52:25	38.6°C	███
Sun, 2018-04-15 19:53:25	38.1°C	███
Sun, 2018-04-15 19:54:25	38.1°C	███
Sun, 2018-04-15 19:55:25	38.6°C	███
Sun, 2018-04-15 19:56:25	39.2°C	███
Sun, 2018-04-15 19:57:25	38.1°C	███
Sun, 2018-04-15 19:58:25	37.6°C	███
Sun, 2018-04-15 19:59:25	37.6°C	███
Sun, 2018-04-15 20:00:25	38.1°C	███
Sun, 2018-04-15 20:01:25	37.6°C	███
Sun, 2018-04-15 20:02:25	37.6°C	███
Sun, 2018-04-15 20:03:25	38.6°C	███
Sun, 2018-04-15 20:04:25	37.6°C	███
Sun, 2018-04-15 20:05:25	37.6°C	███
Sun, 2018-04-15 20:06:25	38.1°C	███
Sun, 2018-04-15 20:07:25	38.6°C	███
Sun, 2018-04-15 20:08:25	38.6°C	███
Sun, 2018-04-15 20:09:26	37.6°C	███
Sun, 2018-04-15 20:10:26	38.1°C	███
Sun, 2018-04-15 20:11:26	37.6°C	███
Sun, 2018-04-15 20:12:26	38.1°C	███
Sun, 2018-04-15 20:13:26	38.6°C	███
Sun, 2018-04-15 20:14:26	38.1°C	███
Sun, 2018-04-15 20:15:26	38.6°C	███
Sun, 2018-04-15 20:16:26	38.1°C	███
Sun, 2018-04-15 20:17:26	37.6°C	███
Sun, 2018-04-15 20:18:26	39.7°C	███
Sun, 2018-04-15 20:19:26	38.1°C	███
Sun, 2018-04-15 20:20:26	38.6°C	███
Sun, 2018-04-15 20:21:26	38.1°C	███
Sun, 2018-04-15 20:22:26	38.6°C	███
Sun, 2018-04-15 20:23:26	37.6°C	███
Sun, 2018-04-15 20:24:26	38.1°C	███
Sun, 2018-04-15 20:25:26	38.6°C	███
Sun, 2018-04-15 20:26:26	38.6°C	███
Sun, 2018-04-15 20:27:27	37.6°C	███
Sun, 2018-04-15 20:28:27	39.2°C	███
Sun, 2018-04-15 20:29:27	38.1°C	███
Sun, 2018-04-15 20:30:27	37.6°C	███
Sun, 2018-04-15 20:31:27	37.6°C	███
Sun, 2018-04-15 20:32:27	38.1°C	███
Sun, 2018-04-15 20:33:27	37.6°C	███
Sun, 2018-04-15 20:34:27	37.6°C	███
Sun, 2018-04-15 20:35:27	38.1°C	███
Sun, 2018-04-15 20:36:27	38.1°C	███
Sun, 2018-04-15 20:37:27	38.6°C	███
Sun, 2018-04-15 20:38:27	38.1°C	███
Sun, 2018-04-15 20:39:27	38.1°C	███
